label,tweet
1,rt @napqilla  no      ambisinya menguasai rakyat  no   ambisinya melayani rakyat  itu terlihat #debat pilkadadki  mknya #loguepilihbadja aja
1,rt @pandji  nah gue pikir sentimen petahana oke di #debat pilkadadki semalam  tapi mnrt politicawave malah sebaliknya  geng u     
1,rt @pandji  urutan pertama best moment #debat pilkadadki   pak basuki misahin bu sylvie &amp
1,rt @pandji  ini artikel yg menjelaskan ternyata di #debat pilkadadki yg dapet respon positif di socmed adalah #aniessandiokoce https     t co u    
0,rt @mrtampi  agus makin santai  nahok makin santun  nanies makin esmosi  n nimho  n#debat pilkadadki
0,pilkada dki jangan pilih pki!! berbahaya!! pilih   atau   saja tahun baru imlek  pkb aj    https     t co  ggych sgct #debat pilkadadki #imlek
0,pdip sengaja becah belah rakyat warga dki tidak pilih ahok!! wni ang    
1,nama nya juga debat nbiasa nya itu https     t co  cjertypdxp
1,rt @dadansuwarna  kita ttp bisa bijak memilih  tanpa harus berteriak  tanpa harus mengumpat  #debat pilkadadki #debatcagubdki
1,rt @aniesbaswedan  ibu  terima kasih atas doa dan kumpulan pelajaran yang telah membangun pemikiran  karakter dan semangat untuk berju u     
0,rt @gunromli  sylviana kesyikan ngomong sendiri lupa bertanya  anies keasyikan nyerang pake data  yg salah  ya ahok joged  aja  ud  d ude   #debat pil u    
0,rt @gunromli  sylviana kesyikan ngomong sendiri lupa bertanya  anies keasyikan nyerang pake data  yg salah  ya ahok joged  aja  ud  d ude   #debat pil u    
0,rt @gunromli  sylviana kesyikan ngomong sendiri lupa bertanya  anies keasyikan nyerang pake data  yg salah  ya ahok joged  aja  ud  d ude   #debat pil u    
0,rt @gunromli  sylviana kesyikan ngomong sendiri lupa bertanya  anies keasyikan nyerang pake data  yg salah  ya ahok joged  aja  #debat pil u    
1,rt @jokoanwar  tiap ahok djarot ngomong  nambah ilmu ya kita  #debat pilkadadki https     t co  xwwrnalpbu
1,rt @jessyastrid  makasih @yosimokalu jangan kasih kendor untuk # putaran # periode #debat pilkadadki salam dua jadiiii u   c u   c https     t co  jb la u    
1,rt @kimochiii    ud  c udfa mohon bersabar ini ujian  ud  d ude  #debat pilkadadki https     t co  ihw yznay 
1,rt @teddygusnaidi      inilah gambaran yg saya sampaikan sebagai pendidikan politik agar supaya masyarakat tau siapa agus &amp
1,#debat pilkadadki orang-orang yang berhenti belajar akan menjadi pemilik masa lalu  orang-orang yang masih terus b #nomor  com #gunaal   
0,as usual  ga pernah menjawab dgn solusi 
0,yah namanya jh odong  si @sylviana murni https     t co   g u iuyo 
0,rt @gunromli  sylviana kesyikan ngomong sendiri lupa bertanya  anies keasyikan nyerang pake data  yg salah  ya ahok joged  aja  ud  d ude   #debat pil u    
0,rt @komunitaskata  #debat pilkadadki bohongi bohongi terus org pakai opini kinerja baik  pdhl kinerjanya absolutely buruk! https     t co  m g u    
0,pdip sengaja becah belah rakyat warga dki tidak pilih ahok!! pria as    https     t co     l axm h #debat pilkadadki https     t co  ybh dtxnw 
0,rt @teddygusnaidi  ini yg gue bilang  yg hebat di tim @agusyudhoyono itu cuma tukang fotonya  coba zoom  orangnya dikit  kebyakan bers u     
0,pdip sengaja becah belah rakyat warga dki tidak pilih ahok!! dua gan    https     t co  dojksgdiwv #debat pilkadadki https     t co  ebhmnmgaq 
0,pilkada dki jangan pilih pki!! berbahaya!! pilih   atau   saja tahun baru imlek  pkb aj    https     t co   cvtw ahuv #debat pilkadadki #imlek
1,rt @novnuraidah  sy ga percaya mpok @sylviana murni melakukan gesture jempol yg sgt bad attitude ini moga hanya editan  ini hanya uj u     
1,rt @gunromli  sylviana kesyikan ngomong sendiri lupa bertanya  anies keasyikan nyerang pake data  yg salah  ya ahok joged  aja  ud  d ude   #debat pil u    
1,makanya prof rhenald kasali bilang bhw dlm #debat pilkadadki trjd pertarungan   lawan    ud  d ude   n https     t co  qpyxtj ybn
1,rt @teddygusnaidi      inilah gambaran yg saya sampaikan sebagai pendidikan politik agar supaya masyarakat tau siapa agus &amp
1,dalam hidup terkadang kita lebih banyak mendapatkan apa yang tidak kita inginkan  dan ketika ki #nomor  net #ariesya    #debat pilkadadki
0,rt @teddygusnaidi      kalau gunakan fantasi agus maka agus bisa menuding bahwa sby tidak beres memimpin     tahun masih banyak yang miskin u    
0,rt @teddygusnaidi      kalau gunakan fantasi anies  maka anies bisa menuding bhw ali sadikin bapaknya boy sadikin gak beres memimpin jakart u    
0,rt @teddygusnaidi  para pemuja-pemuji @agusyudhoyono kalau msh juga memuji ini keterlaluan    mbok ya kalau tugas boleh tapi realistis u     
0,rt @fariji lacak  maklum   namanya jg paslon hapalan  https     t co  wkosscn ds
